Q3E7Y3	P40513
Q03067	P32841
P25626	P40856
P40090	Q3E7B2
P45978	P53195
P14063	Q02890
P31383	Q07478
P53732	O14464
Q03792	Q01389
P40359	P39923
P36108	P28006
P31109	P25342
P38339	P24276
P42939	P27801
Q08977	P40054
P33748	Q3E7B6
Q02939	P05373
P13902	P38772
P40486	P32458
P29467	P38682
Q00916	P41833
P28795	P38262
P15790	P53202
P53917	P25343
P40368	P36521
Q03799	P46669
Q08387	Q07350
Q08214	P50109
P41808	Q04779
Q03714	P18562
P38837	P57743
Q04183	P40060
P50874	P26637
P40028	P40202
P38634	Q07468
P53849	P40362
P41735	P31386
P38634	P32489
P34226	Q12363
P25385	P53068
Q00539	P17629
P09032	P47068
P25637	P32581
Q03750	P38274
Q03656	P32494
P53725	P0C0W9
P53137	Q12168
P36527	P53272
P26321	P32389
Q03723	Q03201
Q12308	P69771
P53326	P12962
P09959	Q03705
Q08746	P43593
P46989	P53846
P53942	Q06632
P07834	Q07457
P38991	P47024
P35056	P53163
P50094	P06780
P39925	P20133
P00950	P10174
P29467	Q08004
O14468	Q03690
P38768	P23644
P32601	P33749
P36005	Q12308
P14120	P12695
P32774	P47064
P25270	P36520
Q12163	P38251
Q06488	Q05580
P04801	P39967
P07257	P20107
Q00711	Q12013
P10823	P41546
Q03012	Q3E846
Q02724	P14681
P38837	P40484
Q06525	P17967
Q12748	Q03723
P43602	Q03769
Q05580	P11745
Q08236	Q03818
P40358	Q08232
P33333	P38325
P41697	O13525
P39923	P41819
P29056	P25627
P15367	Q07381
Q06338	Q12469
P53168	P32499
P39998	P17442
Q12055	Q05123
P32860	P53743
P43568	P06243
P07286	P32496
P47061	Q08951
Q03630	P36075
P89886	P32842
P25491	P38352
P53185	P03879
P33399	P0C2H8
P47111	P07283
Q08236	P53278
P32842	P40460
Q03723	Q12457
P20434	P38316
P36075	Q03020
P07264	Q06506
P49960	Q06708
P49687	P43593
P04449	Q03772
P33420	P38789
P36121	P20081
P38120	P57744
Q12175	Q04947
Q07878	Q07508
Q06338	P25389
P29295	P00560
P11075	P38932
P38751	P11978
P14306	Q12734
P40208	Q06011
P32597	P38798
P38823	P07213
P33759	P53741
Q03144	P38779
P38738	P46948
P41318	P53893
P00410	P08466
P03069	Q03862
P53861	P0CX44
P60010	P40072
P21957	Q06631
P33775	P21264
P40465	P19145
P00360	P40028
P40208	Q05942
P38624	Q08446
Q12143	P53834
P36083	P07347
P20606	P20457
P33339	Q02796
P22203	Q06218
Q04867	Q08226
Q02455	P53871
Q06168	P05744
Q04632	Q05580
P38792	P52918
P32325	P39954
Q02608	P40505
Q03769	Q3E7B6
P43573	P25343
P43587	P0C5N3
P34160	O75012
P15790	P53189
Q05905	Q03361
Q9URQ5	P11938
P40449	Q99382
Q12052	P20457
P07834	P31383
P35187	P38805
P36008	Q04049
P11746	P53320
P39928	P33315
Q08215	P47117
P22517	P38708
P18888	P32599
Q04659	P38911
P14922	P27616
Q02932	P18759
Q08683	P14681
P14680	P38819
Q07914	P09457
O75012	P39515
Q04847	Q04199
Q04233	P40963
P23638	Q07963
Q04511	P34078
P38121	P39990
P21339	P53965
Q06639	Q06148
P32457	P32774
P40963	Q12420
P38146	P32345
P35728	Q12488
Q99190	Q06640
P32563	P00817
P89114	P53064
P23059	P14747
P53179	P07255
Q02555	P36168
P32829	Q08492
P52960	P27636
P12611	Q12143
P40541	P36116
Q04341	P53224
P38772	P39985
Q12297	P25454
P13433	P38304
Q12432	P38956
P17558	P35178
P48561	P23615
P39517	Q12041
Q12452	P25043
P40018	P32830
Q08226	Q01919
P40494	P53145
Q06640	P23293
P20050	P23287
P07347	Q12206
P48566	P25651
Q04431	P47976
P40578	Q03465
P38310	P53317
Q06096	P32829
P32600	P49166
P53220	Q08749
P32796	Q02630
P32336	Q07879
P22214	Q12136
Q12348	P40080
Q12328	P18412
P40512	P38147
P38250	Q06213
P38199	Q99382
P32892	P39995
P41695	P33331
Q04949	P53251
P35197	Q02866
Q04175	P38193
P38757	P28239
Q04305	Q12074
Q03921	Q06091
Q06411	P41813
Q08484	Q03954
P41821	Q12306
P53628	P38707
P38783	P22203
Q02336	Q08471
Q12033	P53859
P38629	P43588
P00431	Q02820
D6W196	Q08003
Q02884	P38989
P23255	Q06224
P50086	Q08646
P25651	Q3E7Y3
P38615	P38428
P36224	P06168
Q04311	P50077
P54005	P53251
Q03944	P43601
P38305	P38934
P32660	P34222
P32379	P21374
Q06103	P48606
P39705	P46679
P33304	P23900
P53032	P53330
P32344	P43618
Q08471	Q00764
P47019	P32473
Q12060	P08566
P33338	P14922
P40335	Q12461
P41695	P53844
Q04368	P36056
Q12146	P38219
P39706	P11745
Q00381	P48240
P36112	P07281
P53286	P00431
P38242	P40361
P07347	P14291
P41821	P38783
P27636	P38882
P38959	Q06159
P08432	Q06440
P36064	P69771
P39926	P37254
P36117	Q04373
P40155	Q12476
P32836	Q05583
P13574	P10964
P35127	P53150
Q03981	P28007
Q08285	P32783
P00830	P53859
P23293	P38748
P0CX30	P49167
P48232	P25644
P31380	P53604
P53971	P39729
P38292	P12709
Q03691	O14467
P38833	Q12449
P16892	P34216
P39517	P05738
P35203	P40571
P36083	Q07732
P40356	P40314
P40086	P31384
Q06336	P54113
P40492	Q03897
Q07879	P38987
P32356	Q02732
Q06251	P29056
P48412	P32601
P19073	Q12027
Q08490	P14742
P30775	P38821
P36523	P47042
P38962	P32445
P53846	Q01855
P00445	P38837
P28743	Q05568
P32833	P38074
P32471	P56628
P25655	P21771
P34164	P39526
P38086	P38764
P38783	P36068
P49166	P41543
P32841	P47050
P54199	Q12188
P11745	P38262
P24871	P38199
Q03071	P53236
P47113	P36037
Q04195	Q12246
P08067	P13185
P31109	P49960
P31787	P35203
P43597	P40314
Q01476	Q04935
P38772	P40030
P05986	P33895
P38809	P41814
P53253	Q04410
P40098	P32354
P53115	P38707
P38823	P17555
P53549	P32566
P36083	P06100
P38881	P29496
P38316	P11746
P38960	P04911
Q04053	P28495
Q01159	P10823
P38344	P53233
P32874	P32776
P32913	P32606
P39079	Q08484
P47117	P40486
P32914	P39946
Q08204	Q12335
Q06090	P38805
P38758	P40555
P53942	P81451
Q02931	P38934
P13574	Q12027
P13517	P12612
P53292	P53736
P22035	P40464
Q02772	P32569
Q3E744	P33307
Q07921	P06778
P46678	P17883
P32855	Q12004
P38829	P39678
P07283	Q12157
P14359	P53937
P25847	P25582
Q08729	P53871
P40359	P10869
P25588	Q12287
Q12028	P38080
Q12221	P00401
P25367	P25648
Q12748	P38349
P32500	Q99216
P53281	P32892
P36121	P32585
Q08962	P13099
P32588	P46964
Q08957	P53741
P28241	P32357
P38276	Q06251
P15179	Q03466
P38263	Q03976
P14127	Q02199
P47170	Q03774
P22336	P41896
Q06512	P25339
P53080	P38781
Q03103	P19097
P20084	Q12347
Q12186	P53248
Q12343	P53939
P46151	P25579
P43614	P40007
P32597	P47165
P39685	P00958
P25344	P53861
P38074	Q05900
Q03327	P47019
P32605	P25579
P27801	P32357
P21651	P38863
Q02196	P32912
P32769	Q12285
P20084	P35728
P25374	Q07532
P23900	P36144
P15303	P35728
P19812	P14291
P32904	P38276
P19736	Q08230
P33298	P12868
P53220	Q08746
P07256	Q08208
Q12292	P36075
Q05931	P25591
P53330	P40038
Q06287	P39998
P32832	P53305
P25637	P53070
P40987	P38772
Q12013	P33307
P22289	Q02455
P38238	Q04712
P39526	P40202
P25339	Q00618
P40987	P47005
P27999	P38270
P38818	Q03707
Q04781	P52488
P38250	P25348
P53721	Q06682
P32500	P38824
P40466	P40956
P29496	P38962
Q03246	P20433
Q02336	P00958
Q04067	P38234
P38856	P42844
P32863	Q08951
P17629	Q12493
P25367	P50094
P38881	P22855
P53184	P12684
P38121	P14693
P40494	P39016
P03879	Q08742
P28003	Q12341
P46655	P22209
P34230	P36531
P27929	P08518
Q02821	Q96VH5
P38292	P07250
P56628	P10869
Q2V2P9	P07266
P10174	P16474
Q08230	Q12395
P22211	P23301
P18494	Q06410
P40465	P31376
Q06629	P32266
Q07458	P46988
P40048	Q07381
P47086	Q08951
Q12440	Q08562
P25293	Q02803
P23642	P54837
Q12349	P31376
P53159	P12754
P32388	P25301
P39744	P38262
P21957	P40077
Q04410	P53043
P38771	P46959
P08566	P32908
P13185	P39016
P0CX46	P37254
Q08924	Q99220
P38707	P53281
P46970	Q06820
P07257	P40495
P07269	P27692
P33331	P14164
Q12334	P35996
P46959	P38270
P38960	P39704
P06169	P40994
P25342	P12612
Q99234	Q04659
Q06005	P12383
P28791	P06777
P34244	P53604
P0CX50	P53843
Q05933	Q03694
P40160	Q02948
P21304	P38356
Q04461	Q04935
P46973	P04147
P32485	P34224
Q07442	O13516
P40364	Q99189
P38257	P33304
P36024	Q05636
P53158	P40069
P25301	P40065
P32500	P32558
P10622	P38011
P06843	Q06835
P12753	P34078
P57743	P32786
Q08199	P05744
P07255	P25491
P53187	P40469
P27882	P32473
Q04401	P06779
Q05580	Q06625
P39926	P46962
Q03899	P19658
P53326	P23585
P47110	Q99176
P18480	Q08490
Q02208	P31244
Q12159	P53849
P36056	P48363
P89105	P17157
Q12321	P41818
Q07844	P07274
P35194	P26786
P53032	P30656
P32366	Q05530
P38356	P38927
Q3E7B2	Q12055
P42836	P53507
Q01926	P53068
P25591	P40043
P32944	Q06159
Q03390	P69771
P53079	P32902
P40547	P38888
P12684	P25616
P23293	P35127
P08964	P47128
Q12114	P32660
P87275	P19735
P25046	P38781
P43621	P40096
P24871	Q02776
P36523	P01097
P40077	P27882
P32829	Q02774
Q06819	Q07622
Q07541	P30775
P40036	Q06629
P38274	P53146
P54785	Q05785
Q03465	P0CX24
P40485	Q99325
Q07362	P09547
P21957	P31539
Q02629	Q04868
Q04712	P21951
P38255	Q2V2P9
Q12420	P32606
P40518	P24384
P38175	Q03497
P32833	P40452
P25386	P40484
P53875	P20134
P32463	Q12368
P40486	Q02608
P11745	P38772
P38074	P23641
P43597	P22438
Q3E7Z5	P53011
D6W196	P40565
P34087	P89105
P39960	P32342
P24814	P38144
P32495	Q04431
P53043	P21691
Q99181	P39676
P28005	Q04199
P39742	P38738
P53924	Q12134
Q03088	P53633
P40030	P38700
P53253	P40187
P53769	P40016
P38637	P39731
P25567	P37299
P21827	P39521
P31377	P53248
P32904	P40060
P53131	P42846
P53733	P53968
Q02606	P43321
P47104	Q06208
Q06505	P38182
P34760	Q06836
P28004	P10663
Q06707	P36131
P38873	P32453
Q03630	Q02647
P25651	Q12248
P40164	Q12019
P38688	P47171
P69771	P38860
P27801	P53617
Q08492	Q00245
Q06834	P32580
P35187	P40090
P38064	P32562
P36167	P05740
Q12387	P53178
P36519	P38823
P07284	P13856
P46983	P18409
P25584	P53198
P40851	Q05778
P38219	Q12009
P22216	P32453
P50085	Q08746
P34232	Q03370
P13517	P47069
Q03388	Q06336
Q12748	P15625
P36162	P43563
P15790	Q06628
Q02948	Q12344
P32842	P53859
P24004	P30822
P43122	P53549
P42837	P33299
P40541	Q03656
P22138	P06704
P40352	P48564
P53246	P34230
P53239	P40010
P33302	P49687
P39904	P32341
P25567	P19882
P01149	Q07350
P25339	Q06333
P28791	P40357
P34167	Q04368
P40693	Q12527
Q3E7B6	P46944
P38962	Q01649
P50077	P25390
P53599	Q12509
Q12082	P29295
P53632	P41818
Q12059	Q03718
Q04935	P40003
P04819	Q04949
Q99299	Q06810
P48565	P43597
P20606	Q03694
Q03705	P32639
P47051	P36037
Q05022	P46995
P53317	P40154
Q03162	Q06707
P40858	Q03921
P33411	P32844
P53137	P06101
P26309	Q08873
Q02794	P39935
Q06672	P22213
P21268	P36517
P40541	P34218
P52491	P22214
P40578	P09932
P48566	P40069
Q06834	P47006
P32943	Q12263
P38758	P53937
P36083	Q07528
P03069	Q12338
P89886	Q12420
P47074	P40450
P41543	Q12369
P14020	P25045
P32641	P53829
P43602	P53900
Q12460	Q12402
P00549	Q06407
Q02776	P48525
P25300	Q12292
P43563	P40362
Q12363	P05739
P46679	Q06078
P35193	P31244
Q12377	Q12483
P27929	Q03465
P06208	P36075
Q08965	Q12308
P40314	P27929
Q12019	P42935
Q01939	P37262
P40010	P38791
P23641	P38222
P40422	P38210
P10174	Q12255
P29467	P38720
P36159	Q12363
Q03579	P28834
P89886	P07834
P39076	P34167
P18852	P25559
Q03213	Q07454
P36008	P53930
P38110	Q06168
P47140	P31111
P41546	P0C0W9
P53847	Q06178
P08153	P32836
P20424	P38871
P06778	P40559
P11938	Q3E830
P07866	Q08818
Q03656	P32526
Q06385	P11747
P36012	P19145
P11927	P07259
Q08831	P53136
Q05471	Q12034
P38089	P42836
P40457	Q12451
Q12084	P39720
Q92317	P53179
Q05021	P46680
P41833	P47120
Q08921	Q02629
P47149	P38270
P09798	Q12082
P39968	P39079
Q12363	P53220
P34253	P40565
P25646	Q06096
Q12361	Q08622
P36012	P07236
P22213	Q04935
P50945	P05737
P39705	Q03308
P34230	P43601
Q03124	P38999
Q06648	P53256
P00360	P38837
P0CY09	Q12024
P40541	P39925
P36517	P28239
P40161	P89105
P53326	Q04233
P33754	P36525
P38927	Q02803
Q00916	P49723
Q00381	Q99278
P07866	P69850
P54730	Q08412
Q12016	P40038
Q12033	P23968
P36121	P53150
P00410	P46995
P32569	P40960
Q04341	P19956
P40454	P15731
P45818	Q03103
P25656	P38236
P43545	P69850
P39720	Q3E6R5
Q12122	P53188
P18562	Q12468
P20095	P32898
P36046	P38823
P36057	P25366
P32912	Q06169
P21651	Q08471
P47089	Q12059
P25045	P40106
P32892	P0CY11
P15274	P36523
Q06707	P15938
Q12161	P25357
P25627	P53540
P53949	P40578
Q02457	P38431
P48562	P46973
P36168	P53914
Q06677	P27344
P12689	Q12363
P25605	P53550
P32657	P38815
Q99394	P38203
P34252	P27680
P39522	P00950
Q12754	P07249
P50085	Q08977
P32578	P25302
P05744	P14736
P14680	P06197
P07281	P38903
P48566	P42838
P39014	Q08236
Q08957	P40090
P41814	Q08873
P11938	P38210
P43122	Q04712
Q04377	P53335
P33760	P25336
P48412	P26449
P38228	P32628
P38324	Q08109
P36115	P40466
P35728	P19262
P06786	P38307
Q04632	P10664
P23202	P39521
P32794	P32660
Q03465	P53129
P27515	P38212
Q02199	P17123
P43602	P38844
Q12013	Q08646
P53691	P25638
P07270	P32608
Q05050	P36094
P36123	P23638
Q06071	P33759
P40065	P39073
Q12446	P06103
P07806	P36148
P47129	P15891
P54785	P43554
P12687	P32606
P25386	P40036
P43605	P53622
P47170	P32617
P53096	Q05919
P06704	P32341
P04050	P53883
P53905	P40991
Q00539	P0C2H8
P38129	P29468
Q3E846	O75012
P32796	P36068
P37293	P32387
P53854	P36076
P36152	P31376
P39927	Q03973
P32356	Q12754
P53911	Q03769
P53905	P32862
P40005	Q08951
P40348	P38840
P0CX44	Q04172
P49089	P14359
P38708	P38821
Q05541	Q99186
P04650	Q12527
P15703	P0CX44
P23561	P25451
P40460	P38129
P41812	P38120
P38810	Q12335
Q12745	P05744
Q00684	P18562
P53877	Q12038
P32527	P40573
P05694	P32597
P38302	Q12192
P15625	P38742
P50077	Q08004
P50276	P14063
P52918	Q12206
P20050	P40056
P31380	P48606
P40511	P14126
Q12349	P21264
P39705	P38254
P10663	Q02875
P21827	P53131
P36054	P21825
Q03532	P34217
P38866	P49956
P20435	Q06580
P39015	Q03799
P08067	Q03714
Q12514	P19735
P32074	Q05022
Q07800	Q08951
Q12241	P50089
P38705	P00854
P07259	P52490
P36008	P53248
Q02983	P23561
P38236	P33421
P53188	Q05946
Q02629	P14906
P38260	Q02767
P38121	Q02792
P36149	P38705
P33892	P32902
P38757	Q05809
P43564	Q04373
P25638	P19880
P29029	P40395
P40468	P38883
P38203	Q03212
Q06682	P38861
P38632	P12686
P30902	P07281
P53890	P53320
P46671	P49089
Q04431	P40993
P32521	P39015
P53299	P47025
P35727	P40021
P0CX24	P47077
Q03957	P53112
Q12347	P32347
P33323	P36132
P39523	P38820
P02992	P53137
P53170	Q07442
Q04272	P16451
P38768	P18494
P47083	P35056
P39955	P14741
Q12743	P47035
P36094	P21734
P08456	P04386
Q03691	P33753
P29467	P07283
P43124	P47117
P31111	P48606
Q04048	P38863
Q07794	P06104
P33298	P53140
P29366	Q12306
P46678	P47167
P39742	P33322
Q12309	Q12059
P38064	P14905
P53724	Q12486
P30657	P12866
P53112	P47041
P15624	P34077
Q12328	Q04080
P53140	P38850
Q01389	P46957
P38759	P22035
Q07821	P41807
P25623	Q04264
P48524	P38274
P49955	P39985
P40046	P39531
P53236	P39731
P49686	P39077
P25646	P53096
P22216	P32571
P53128	P38862
P48510	Q04431
P25342	P37291
P53599	P53305
Q07623	P21734
P20436	Q12072
Q12532	P40364
P25336	P32605
P36000	Q02803
P38794	P04911
P32860	P40066
P23595	P46671
P47976	Q03713
P32611	Q02205
P21192	P10622
P53112	P53718
P0CX30	P40090
Q03687	Q07915
P25566	P04786
Q99258	Q06677
Q3E705	P53281
Q04110	Q02793
P25302	P15625
P25385	P36162
D6W196	Q00246
Q02889	P32864
P25443	Q12365
P20486	Q03096
P32074	P23644
Q02606	Q06819
P53115	Q3E840
P36146	P11927
P40458	P43124
P40087	P38222
P38803	P46948
P38911	P40362
P47045	P25847
P38130	Q03497
P40089	P52870
P47015	Q07963
Q04322	P31380
P35727	P25642
P40079	Q03213
Q03921	P25374
Q99247	P53953
P36024	Q03774
Q12329	Q03162
P32368	P08524
P40339	P40577
P46671	P34167
P0C5N3	Q07844
Q99234	P53220
Q05027	P32915
P48524	P47104
P40007	Q04401
P47136	P32902
P53278	P05085
P04387	P47024
P46677	P52491
Q12335	Q08232
P39011	P41318
P39927	P38844
P49957	P15891
Q12380	Q12156
P00560	Q02554
P47006	P21771
P38555	P50113
Q02884	P61829
Q12380	P07270
P43602	P81451
P07560	P38238
P32800	Q03579
P32419	Q02983
P28000	P32864
P38261	Q12122
P53276	Q07845
Q12488	Q08746
P35189	P41812
P38325	Q12488
Q03429	P38860
P43586	P38351
P40578	P32943
P49687	P50090
Q08179	Q96VH5
P26793	P53278
P27809	P36130
P21242	Q02795
P40454	Q12016
Q99222	Q12255
P20107	P53207
P39001	Q02784
Q07845	P53010
Q02908	P53881
Q03337	P53272
P38198	P35179
P39927	P36131
P38013	Q07541
P40573	P41920
P38431	P43573
P25623	P40020
P28495	Q06078
P22204	P53091
P36036	P0CS90
P15938	P49704
P38956	P32480
Q12168	Q12469
P42943	P40858
Q12373	Q04172
P25039	P32485
Q01590	P36076
P43682	Q12334
Q04049	O94742
Q3E840	P36016
Q04305	P38129
P19263	P19955
P38351	P60010
P25043	P14747
P35732	Q05040
P32581	P30657
Q03096	P25847
P09436	P32913
P40515	P36016
Q12309	Q12083
Q08176	P38708
P32628	P32943
Q03375	P38820
P06780	P40457
P40054	P39926
P41818	P53212
Q00916	Q03772
P40366	P25573
P36018	Q03407
Q12263	P52491
P32379	Q12052
P07347	P35688
P32905	P40339
P15303	Q12318
P38688	P40469
P34164	P36108
P47045	P50091
P35200	P46655
P39923	Q02521
P32910	P16370
Q12338	P53859
Q12308	P47171
P00549	Q03407
Q6Q546	P53313
P38042	Q2V2P9
P40157	P36148
Q03388	Q06525
P40059	P38218
P39944	P36517
P53008	Q04087
P53280	P47024
P34087	P40513
P32830	P38855
P38682	Q02889
P53281	P40515
P69850	P40007
P00424	P03069
P43545	Q05024
P35688	Q05778
Q99207	P39112
Q04003	P53323
Q3E705	P36024
P15646	Q04500
P05626	P53146
P04819	P57744
P46671	P24276
Q12221	P34111
P23179	P38850
Q04660	P53150
P18759	Q6WNK7
Q08285	P21691
P25605	Q99258
P40007	Q3E705
Q02208	Q06616
P38203	P25651
P16622	P22803
P38207	P38291
O13297	Q06405
P40090	P36132
P17891	P21951
Q07953	P22035
P36012	Q04370
P23293	P10964
Q08886	P38922
P33892	P47083
P36115	P20434
P07250	P05694
Q03338	P32325
P47112	Q6Q560
Q12015	Q05080
P32608	Q01855
O75012	P39735
Q99186	Q08287
Q02608	Q06385
P47011	P40546
P53552	P23585
P00401	Q03103
P38996	P38810
P32862	P46962
P15873	Q04322
Q12493	P06100
Q06208	Q07533
P36126	Q00955
P39995	Q04062
Q3E7B6	P32522
P35187	P10174
P12753	Q03956
P32559	Q99247
P35203	P48560
Q99234	P04385
P38218	P29468
P50090	P50091
P53108	P40571
P32939	P47187
P35718	P25294
Q12343	Q03750
P36224	P53043
P05747	Q12343
P14063	P39958
Q03063	Q12449
P18409	P53137
P38691	Q12318
P32496	P27466
P53244	P36008
P38696	P38840
P15019	P34730
Q02820	P33202
Q02256	Q03897
P40075	Q04500
P18852	P12688
Q05541	P32364
P48589	P36057
Q03162	P19097
P38708	Q99394
P31111	Q03144
P53858	P53844
Q12416	Q03012
P32860	P38283
P49089	P53135
P35719	Q01939
P38922	Q02866
Q06091	P53959
P13902	P40509
Q08550	P42841
P15790	P32874
P53150	P38806
P35208	Q05580
P57744	P53742
P04786	P30822
P38701	P12611
Q08144	Q03323
P41697	P0CX24
P03879	P39706
P42935	P32899
P17255	P20081
Q12059	P08964
P47187	Q02932
Q04049	Q06164
P46677	P25588
Q04305	P38824
P32913	P25627
P25337	Q12165
P53083	P57743
P50947	Q12330
P42847	P52960
P00424	P24384
P36048	P38121
P04385	P38785
P39108	Q02725
Q12477	P41909
Q06410	Q04172
P40010	Q04210
P42836	P42845
P06704	P24868
P40154	Q05930
Q3E705	P32939
P34237	P23337
P40064	P39998
P22276	P54784
Q12059	P40013
Q03579	P53037
P53080	P34226
P39523	P33329
P34226	Q01163
P32526	P40450
P39104	P15646
P40003	Q06109
Q04233	P36520
P49957	P52553
P22007	Q03048
Q08119	P38736
P52919	P43583
Q12477	P42949
P48589	P33753
P39015	P39081
P47048	P53251
P40466	P40070
P23638	Q02205
P23337	P47123
P09733	P53137
P48240	P53250
P32939	Q06236
Q05933	P53968
Q12157	P25635
P22082	P14306
P25605	Q08726
Q04924	P23724
P33334	P20486
P36121	P40154
P38883	P38590
P42951	P36040
P05030	P29539
P50086	Q06211
P47029	Q04477
Q06142	P22216
P53863	Q03897
P26784	P32570
P05756	Q04195
P38871	P36531
P32629	P40541
P16474	P21691
P38958	P40562
P38884	P07259
P38307	P53157
P53137	P32562
Q02205	P39928
Q03503	P48412
P25344	Q06629
P30283	P33338
P28000	P0CX24
P31376	P47075
P05737	Q99189
P38953	P28003
Q12208	P36160
Q02793	Q02721
P47005	P41800
P38112	P36130
P25389	P06243
P27796	P50947
P49960	P40054
P25719	P47130
Q02630	P12612
P0CX87	P40956
P30665	P37267
P40422	P26449
P53256	P23615
P38783	Q12156
P31109	P48560
P47047	P06838
P46672	Q02932
Q03768	P30657
P27637	Q12242
P53032	P40456
P52491	P34233
P81450	P32861
Q04712	Q05670
Q06162	P15891
Q12387	P38328
Q04964	P25555
P40356	Q08932
Q04781	Q02884
Q12477	P33302
Q12743	Q12365
P47083	Q04175
Q01855	Q12483
P16140	P38265
P34111	Q08490
Q08961	P38270
P25567	P21304
Q00582	P32351
P40558	P26448
P40066	P32471
P47025	Q05468
P30656	Q99222
Q12517	P40154
P40344	P32836
P33759	P28519
P40064	P38349
P38352	P47111
Q05946	Q01722
P32839	Q02457
P53290	Q04401
P25656	P32525
P36017	P53032
P53722	Q06389
P10962	P18562
Q12181	Q03694
P69851	P20676
Q12402	P28000
P39743	P13099
Q07953	P40449
P02557	P40562
P53114	Q03435
Q08490	P47171
P35184	P38555
Q04437	Q04217
Q06677	P32479
Q08746	P36132
P53969	P49017
P11075	Q02554
Q12098	P32368
P00958	P40485
P32914	P0CY09
P39705	Q99299
P40457	Q04067
P17558	P22579
P54074	Q04839
P40086	P33755
P33411	Q06218
P09733	P25342
P47049	P32916
P32832	Q08215
P12687	P53973
P34730	P40343
P54000	Q05029
Q02793	P40462
P40327	Q12196
Q05779	P38927
P26448	P36015
Q02629	P38877
P00424	P12684
P32344	P35193
P38806	P32862
P34225	P01120
Q3E7Y6	Q12098
P27796	Q08235
P32913	Q03630
P47005	P47024
P37293	P47822
P18634	P05085
P41896	P25300
P47110	P36146
Q03327	Q05022
Q02204	P52891
P25616	P69851
P53733	P06786
P38080	Q08215
P40693	P32899
P89102	Q03713
P50875	Q12040
P53924	P38615
P53128	Q05809
P53847	Q03435
P21372	P23615
Q06625	Q03388
Q12248	P53834
P48232	P17555
P15019	P20050
Q00381	P32607
P35203	P23638
P22216	P47045
P06197	P24280
P04387	Q12406
Q01476	P39954
P48561	Q12176
Q05787	Q12186
Q12028	P42838
P25389	P40325
P38297	P20084
P33754	P53863
P40010	P32917
P39723	Q12754
P32862	Q06211
Q92317	Q08562
P38891	Q99344
P01123	P53875
P38920	P36162
Q05050	P25339
P26784	P32909
P46675	P24384
Q07454	P38234
P23179	P34760
P36041	P10080
P36104	P11325
P47821	P05739
P53192	P38254
P47050	P33411
P23900	P06701
Q06629	P43682
P31383	P53168
Q02606	Q04969
P14693	P25039
P32490	Q08818
Q02805	P00729
Q05359	P38701
P50942	Q07921
P38127	P15625
Q05905	P53299
P21651	P32468
P46675	P04456
P52870	P40568
Q05610	Q01159
Q04359	P40518
P53866	P40352
Q03920	P19145
P53286	Q03973
Q04779	P38272
Q02205	P26786
P07253	P17883
Q02932	Q07821
P06197	P53102
P34226	P40559
P35179	P38987
P53141	P33760
P40994	P40156
P32494	Q06678
P31385	P39929
P39722	P41832
Q08562	P32585
P35732	P38871
P04387	P32361
P48415	P36024
P00942	P38866
P53550	P00815
P43583	P38959
P35200	P53736
P40030	P53875
Q01477	P39705
Q04894	Q02608
P42841	P53292
P53724	Q08484
Q03829	Q02685
P32447	Q12527
P06780	P38817
P38164	P53875
Q08490	Q02793
P06100	P36048
P25302	P36015
Q12434	P53152
P27636	Q04322
Q08729	Q01589
P39935	P53538
P40955	Q99258
P53911	Q12186
P40352	P40366
Q12338	P38785
P48563	Q05166
P39968	Q12743
P32453	P53733
Q06819	Q04659
P54999	P53104
P12611	P33891
P38555	P38748
Q05791	P38265
P27929	P53080
P54115	P32502
P20795	P43572
P38229	P38819
P19263	P40495
P50874	P40020
Q04311	P35056
P36009	P35997
Q12434	Q03016
P27637	P53540
P22204	P38147
P18496	P24482
P23968	P32599
P07273	P49334
Q3E7Y6	P00950
Q08873	P12684
P38146	P37366
P32589	P30619
Q12271	P54885
Q08232	P32897
P0CX30	P33775
P53899	P06208
P25389	P28519
P38615	Q12369
P40554	Q08949
P07249	P50109
P49334	P40509
Q04437	P38218
Q12080	P42841
P53239	P38344
Q12311	P24870
P17065	P53721
P36528	Q12059
Q12306	Q12449
P53179	Q04080
P47129	Q08622
P38958	P32565
P53843	P20485
P36527	P38772
P36096	P02406
P43598	P36147
P03879	Q08924
P40066	P39520
P38863	P25808
P37293	P17106
P42838	P36018
P32589	P20436
P32419	P41808
P53178	P32864
P00330	P36016
P38840	P43568
P32461	P47054
Q04847	Q01159
P48439	Q06107
P50109	P0CE41
P52920	P53953
Q12142	P38325
P38770	P40968
P36102	Q07528
Q04697	Q07528
P28320	P32565
P17883	P53135
P38313	Q06504
P15790	Q04431
P27801	P08018
P53248	Q99299
Q03103	P38187
P32790	P00431
P42900	P38819
P25642	P08067
P20134	P32505
Q3E7Z5	P53628
P25656	P17255
P13712	P53538
P48565	P53927
P40546	Q03280
Q06630	P01149
P38772	P22336
P32914	P23255
P53096	P00410
P39980	P31244
Q05022	P80967
P38860	P47158
P14905	Q03088
P45978	P47122
Q05166	P15705
P41896	P41903
P05626	P53091
P25374	P05318
P53851	P53969
P39521	P50110
Q04598	P41543
P32461	P51862
P48566	Q04080
P34087	Q08109
P40511	Q04894
P00330	Q12220
P38315	P39990
P46677	P25382
P36119	P36521
P53840	P53266
Q01454	Q99314
Q04493	Q06580
P35180	Q03921
P28795	Q04183
Q12461	Q12059
P38736	P32773
